"用例编号","自动化类型","优先级","用例标题","前置条件","测试数据","操作步骤","断言","UI可查询前端元素","接口/字段/文案key","备注"
"UI-CP-001","UI自动化","P0","打开新建患者弹窗","已进入患者管理页","无","点击新建患者按钮","页面出现标题为新建患者信息的弹窗","新建患者；新建患者信息","patientManage:action.create；patientManage:modal.title","UI只验证按钮文本和弹窗标题"
"UI-CP-002","UI自动化","P0","新建患者弹窗基础元素展示","已打开新建患者弹窗","无","观察弹窗内容","展示姓名、生日、电话号码、性别、备注字段；展示确定、取消按钮","姓名；请输入姓名；生日；电话号码；请输入电话号码；性别；男；女；备注；请输入备注信息；确定；取消","patientManage:modal.form.name.label；patientManage:modal.form.name.placeholder；patientManage:modal.form.birthday.label；patientManage:modal.form.phone.label；patientManage:modal.form.phone.placeholder；patientManage:modal.form.gender.label；patientManage:gender.male；patientManage:gender.female；patientManage:modal.form.remark.label；patientManage:modal.form.remark.placeholder；patientManage:action.confirm；patientManage:action.cancel","i18n key仅作为维护索引，UI查询渲染后的元素"
"UI-CP-003","UI自动化","P0","姓名为空时展示必填错误","已打开新建患者弹窗","姓名为空","保持姓名为空，点击确定","展示错误提示请填写患者姓名；弹窗仍保持打开","确定；请填写患者姓名","patientManage:modal.validation.name.required","前端表单校验"
"UI-CP-004","UI自动化","P0","姓名超过200字符时展示长度错误","已打开新建患者弹窗","姓名输入201个字符","输入超长姓名，点击确定","展示错误提示姓名最多输入200个字符；弹窗仍保持打开","请输入姓名；确定；姓名最多输入200个字符","patientManage:modal.validation.name.max","前端表单校验"
"UI-CP-005","UI自动化","P1","姓名200字符时前端校验通过","已打开新建患者弹窗；可拦截或mock新建接口成功响应","姓名输入200个字符，其他字段为空","输入姓名，点击确定","不展示姓名长度错误；接口成功mock后展示新增患者成功；跳转到包含patientID的地址","请输入姓名；确定；新增患者成功","patientManage:message.createSuccess","UI只断言前端可见结果，不断言后端是否接受200字符姓名"
"UI-CP-006","UI自动化","P1","生日为空时不展示必填错误","已打开新建患者弹窗；姓名已填写有效值","生日为空","不选择生日，点击确定","不展示请输入患者生日","生日；确定","patientManage:modal.validation.birthday.required","生日当前前端规则为非必填"
"UI-CP-007","UI自动化","P1","电话号码为空时不展示必填错误","已打开新建患者弹窗；姓名已填写有效值","电话号码为空","不填写电话号码，点击确定","不展示请输入患者手机号","电话号码；请输入电话号码；确定","patientManage:modal.validation.phone.required","电话号码当前前端规则为非必填"
"UI-CP-008","UI自动化","P1","电话号码输入框最多允许50字符","已打开新建患者弹窗","电话号码输入51个字符","在电话号码输入框输入51个字符","输入框实际值长度不超过50","请输入电话号码","telephone；patientManage:modal.validation.phone.max","由于Input存在maxLength=50，UI层通常无法输入超过50字符，不应强制期待出现电话号码最多50个字符错误提示"
"UI-CP-009","UI自动化","P1","性别为空时不展示必填错误","已打开新建患者弹窗；姓名已填写有效值","不选择性别","点击确定","不展示请选择患者性别","性别；确定","patientManage:modal.validation.gender.required","性别当前前端规则为非必填"
"UI-CP-010","UI自动化","P1","性别选项可切换","已打开新建患者弹窗","选择男，再选择女","点击男；再点击女","被点击的性别选项呈现选中态；另一个选项取消选中态","男；女","gender","UI只断言选项选中态，不直接断言请求体中的gender值"
"UI-CP-011","UI自动化","P1","备注超过4096字符时展示长度错误","已打开新建患者弹窗","备注输入4097个字符；姓名输入有效值","输入超长备注，点击确定","展示错误提示备注最多4096个字符；弹窗仍保持打开","请输入备注信息；确定；备注最多4096个字符","patientManage:modal.validation.remark.max","前端表单校验"
"UI-CP-012","UI自动化","P1","取消新建患者弹窗","已打开新建患者弹窗，并输入部分表单内容","姓名、电话、备注任意输入","点击取消；再次点击新建患者","第一次点击后弹窗关闭；再次打开后表单内容被重置","取消；新建患者；新建患者信息","patientManage:action.cancel；patientManage:action.create；patientManage:modal.title","验证弹窗关闭和表单reset"
"UI-CP-013","UI自动化","P0","创建成功后展示提示并跳转","已打开新建患者弹窗；新建接口被mock为成功，响应包含data.id","姓名：自动化患者；其他字段可选","填写姓名，点击确定","展示新增患者成功；页面跳转到/createDesign；URL中包含patientID=<mock id>","请输入姓名；确定；新增患者成功","patientManage:message.createSuccess；data.id","该用例需要mock接口或稳定测试环境数据"
"UI-CP-014","UI自动化","P1","创建失败时展示后端错误消息","已打开新建患者弹窗；新建接口被mock为失败","姓名：失败患者","填写姓名，点击确定","展示接口返回的message；不跳转到/createDesign","请输入姓名；确定；接口返回message","SavePatient response.message","UI只断言前端展示了接口错误消息，不判断后端错误规则是否正确"
"API-CP-001","接口自动化","P0","必填字段完整时创建成功","可直接调用SavePatient接口或网关命令","name有效；dateOfBirth、gender按接口实际要求传入有效值；telephone可选","调用SavePatient接口","响应code===0；响应data.id存在；响应data.name与请求姓名一致或符合服务端处理规则","","SavePatient；name；dateOfBirth；gender；telephone","如果线上后端允许生日、性别为空，应同步调整最小成功请求数据"
"API-CP-002","接口自动化","P0","姓名为空","可直接调用SavePatient接口或网关命令","name为空字符串","调用SavePatient接口","记录真实接口响应；期望服务端拒绝空姓名","","SavePatient；name","离线网关会返回患者姓名不能为空；线上后端需实际验证"
"API-CP-003","接口自动化","P0","姓名为空格","可直接调用SavePatient接口或网关命令","name为空格字符串","调用SavePatient接口","记录真实接口响应；期望服务端trim后拒绝","","SavePatient；name","前端UI层可能不会拦截纯空格姓名，此项应由接口自动化确认"
"API-CP-004","接口自动化","P1","姓名超过200字符","可直接调用SavePatient接口或网关命令","name为201个字符","调用SavePatient接口","记录真实接口响应，确认服务端是否限制姓名长度","","SavePatient；name","前端有限制，但仓库可见离线层未发现该长度硬校验"
"API-CP-005","接口自动化","P1","生日为空","可直接调用SavePatient接口或网关命令","dateOfBirth为空或不传；其他字段有效","调用SavePatient接口","记录真实接口响应，确认服务端是否要求生日必填","","SavePatient；dateOfBirth","前端UI生日非必填；接口类型声明中dateOfBirth非可选"
"API-CP-006","接口自动化","P2","生日为非法值","可直接调用SavePatient接口或网关命令","dateOfBirth为非法字符串、负数或0","调用SavePatient接口","记录真实接口响应，确认服务端是否拒绝非法生日","","SavePatient；dateOfBirth","离线网关会将无效、空值、非正数转为null"
"API-CP-007","接口自动化","P2","生日为未来日期","可直接调用SavePatient接口或网关命令","dateOfBirth为未来日期时间戳","调用SavePatient接口","记录真实接口响应，确认服务端是否限制生日范围","","SavePatient；dateOfBirth","前端未发现生日范围校验"
"API-CP-008","接口自动化","P1","性别为空","可直接调用SavePatient接口或网关命令","gender为空或不传；其他字段有效","调用SavePatient接口","记录真实接口响应，确认服务端是否要求性别必填","","SavePatient；gender","前端UI性别非必填；接口类型声明中gender非可选"
"API-CP-009","接口自动化","P1","性别非法值","可直接调用SavePatient接口或网关命令","gender为3、-1或x","调用SavePatient接口","记录真实接口响应，确认服务端是否只接受1/2","","SavePatient；gender","离线网关会将无法识别的性别转为null"
"API-CP-010","接口自动化","P2","电话号码为空","可直接调用SavePatient接口或网关命令","telephone为空或不传；其他字段有效","调用SavePatient接口","记录真实接口响应，确认服务端是否允许空电话","","SavePatient；telephone","前端UI电话非必填"
"API-CP-011","接口自动化","P2","电话号码超过50字符","可直接调用SavePatient接口或网关命令","telephone为51个字符","调用SavePatient接口","记录真实接口响应，确认服务端是否限制电话长度","","SavePatient；telephone","UI输入框会限制50字符；该场景应绕过UI直接接口验证"
"API-CP-012","接口自动化","P2","电话号码格式非法","可直接调用SavePatient接口或网关命令","telephone包含字母、特殊字符或明显非法格式","调用SavePatient接口","记录真实接口响应，确认服务端是否校验电话格式","","SavePatient；telephone","前端UI没有电话格式校验；离线层未发现格式硬校验"
"API-CP-013","接口自动化","P2","备注超过4096字符","可直接调用SavePatient接口或网关命令","desc为4097个字符","调用SavePatient接口","记录真实接口响应，确认服务端是否接受desc字段并限制长度","","SavePatient；desc","SavePatientRequest类型声明未列出desc，但UI会提交该字段"
"API-CP-014","接口自动化","P2","身份证为空或不传","可直接调用SavePatient接口或网关命令","不传identityCard或传空值","调用SavePatient接口","记录真实接口响应，确认服务端是否允许身份证为空","","SavePatient；identityCard","当前UI没有身份证字段"
"API-CP-015","接口自动化","P2","身份证格式非法","可直接调用SavePatient接口或网关命令","identityCard为非15/18位或包含非法字符","调用SavePatient接口","记录真实接口响应，确认服务端是否校验身份证格式","","SavePatient；identityCard","接口类型声明注释提到身份证15或18位，但仓库内未看到线上后端规则"
"SPECIAL-CP-001","特殊处理","P1","dateOfBirth提交前转毫秒时间戳","可拦截请求、mock savePatient或做组件级测试","选择任意生日","提交表单并检查请求体","请求体dateOfBirth为毫秒时间戳","","dateOfBirth","不建议作为纯UI用例断言"
"SPECIAL-CP-002","特殊处理","P1","telephone提交前trim","可拦截请求、mock savePatient或做组件级测试","telephone输入前后空格","提交表单并检查请求体","请求体telephone已trim","","telephone","不建议通过纯UI只看输入框显示来判断"
"SPECIAL-CP-003","特殊处理","P1","name提交前不trim","可结合UI和接口验证","name输入纯空格","UI点击确定；或接口直接请求","UI层可能不触发必填；接口层确认后端是否拒绝","","name","只用UI不能推断后端行为"
"SPECIAL-CP-004","特殊处理","P2","性别API值与离线DB值映射","离线模式或数据层测试环境","gender传1或2","接口请求验证API值；离线模式检查存储值","API男为1、女为2；离线DB男为1、女为0","","gender","不建议只看选项文本判断请求或入库值"
"NO-UI-001","不纳入UI自动化","P2","身份证格式","无","identityCard非法格式","不做UI用例","UI没有身份证字段","","identityCard","归属接口自动化"
"NO-UI-002","不纳入UI自动化","P2","电话格式","无","telephone非法格式","不做UI用例","UI没有电话格式校验","","telephone","归属接口自动化"
